Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
2.66,0,-0.114034,-0.2854636,65.0527,16.99276,-2.142969,-1.247766,11.46365
2.68,0,0.9296028,0.5112889,50.85423,8.428646,-1.40069,-0.6765119,19.62376
2.7,0,1.749404,1.14894,36.47254,0.1370814,-0.7933693,-0.1061306,18.92665
2.72,0,2.094043,1.50584,14.3962,-6.48012,-0.7258892,0.2542608,-11.32268
2.74,0,2.166061,1.622499,9.419095,-11.12474,-1.19825,0.1930247,-60.66707
2.76,0,2.234591,1.638283,0.1824515,-14.44223,-0.1185694,0.1602236,-5.908518
2.78,0,2.150865,1.557225,-1.267931,-16.39507,1.23103,0.6075812,64.64621
2.8,0,2.086942,1.453572,-0.7488468,-17.50048,1.23103,1.163357,40.36948
2.82,0,1.990044,1.337811,-1.664878,-17.93617,1.23103,1.468917,9.305715
2.84,0,1.873658,1.218499,-0.3213652,-17.86233,2.44567,1.873971,55.72425
2.86,0,1.930166,1.177526,-1.695411,-17.99232,2.918031,2.46482,59.50744
2.88,0,1.941036,1.157276,1.617566,-18.1143,2.850551,2.902561,24.59299
2.9,0,1.763388,1.070216,-0.4282355,-17.63731,3.25543,3.184514,21.66179
2.92,0,1.777593,1.036097,0.7778715,-17.36436,3.592831,3.462816,23.74682
2.94,0,1.720615,0.9981434,0.04504682,-17.00314,3.93023,3.750832,26.29757
2.96,0,1.670922,0.9625975,0.1213828,-16.60572,4.60503,4.141569,46.5933
2.98,0,1.693538,0.9590167,-0.2450293,-16.41176,4.94243,4.597952,44.26091
3,0,1.64353,0.9394863,0.1977187,-16.12472,5.684711,5.123956,59.83729
3.02,100,1.696919,1.064425,1.235887,-5.899753,5.009911,5.406389,-3.158268
3.04,100,1.65493,1.285418,-0.8862511,1.0679,5.684711,5.553308,16.87729
3.06,100,1.581547,1.492139,2.976346,5.958091,5.21235,5.58129,-16.07424
3.08,100,2.10635,1.905418,32.67101,7.578734,5.95463,5.699068,21.33876
3.1,100,2.708577,2.410321,29.99926,6.772864,5.61723,5.849791,-2.139761
3.12,100,3.250552,2.90044,29.98399,4.53656,6.22455,6.040245,21.72268
3.14,100,3.721287,3.328983,24.42673,1.567604,5.887151,6.171782,-6.471032
3.16,100,4.08357,3.666395,19.44963,-1.550446,5.95463,6.164271,-11.48134
3.18,100,4.342756,3.908256,11.5565,-4.445182,5.684711,6.034041,-27.43265
3.2,100,4.390341,4.013243,5.968713,-6.526032,5.887151,5.880156,-12.32092
3.22,100,4.430258,4.053163,2.869475,-8.040703,6.02211,5.815055,1.213599
3.24,100,4.427948,4.049059,3.052681,-9.045195,5.95463,5.768759,-0.193609
3.26,100,4.458503,4.042878,1.358024,-9.812451,6.35951,5.819111,22.73728
3.28,100,4.465608,4.02962,1.724437,-10.34825,5.34731,5.661948,-34.23142
3.3,100,4.439445,4.002582,0.3656577,-10.62398,5.61723,5.388677,-13.7349
3.32,100,4.40897,3.970464,0.1671843,-10.71262,5.61723,5.235819,-0.1904932
3.34,100,4.37905,3.938901,0.2893218,-10.67791,5.95463,5.249864,25.60783
3.36,100,4.376971,3.921229,0.2435202,-10.64861,5.95463,5.35804,25.48844
3.38,100,4.333707,3.89391,0.07558119,-10.49376,5.009911,5.193481,-30.33561
3.4,100,4.311928,3.872405,0.3198562,-10.32193,5.21235,4.913633,-12.3769
3.42,100,4.298756,3.85796,0.1213828,-10.16575,5.27983,4.775059,5.627951
3.44,100,4.296952,3.851852,0.01451245,-10.05586,5.21235,4.718558,9.619921
3.46,100,4.313888,3.857389,0.4267263,-10.03552,5.61723,4.804153,34.58453
3.48,100,4.276999,3.845433,-0.04655629,-9.905819,5.684711,4.983909,34.75463
3.5,100,4.29024,3.846509,0.3961921,-9.860941,5.887151,5.188401,36.89446
3.52,0,4.291449,3.739513,0.1213828,-20.03685,5.887151,5.359151,26.52188
3.54,0,4.270171,3.502843,0.04504682,-26.77288,4.87495,5.185546,-37.13454
3.56,0,4.139204,3.206315,-8.397705,-30.8659,4.94243,4.825331,-27.12162
3.58,0,3.494281,2.706949,-34.15344,-31.5764,5.21235,4.600108,4.369441
3.6,0,2.974848,2.20408,-26.15344,-30.42451,4.267631,4.275478,-34.5824
3.62,0,2.499444,1.748666,-28.13817,-28.16519,5.54975,4.220281,49.79922
3.64,0,1.99648,1.326103,-21.52748,-25.07977,4.60503,4.241542,4.599838
3.66,0,1.752128,1.042962,-15.55801,-22.25479,4.67251,4.148581,7.751947
