Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
3.28,-87.85492,8,0,-3.025153,-2.850747,24.09086,20.80628,0.6911907,1.32576,18.52999,7832
3.3,-81.45132,8,0,-2.301832,-2.201486,35.02216,12.33527,1.298511,1.747582,20.36402,7868
3.32,-87.52362,8,0,-1.677701,-1.728024,26.85421,5.349934,1.568431,2.065111,20.27881,7844
3.34,-138.6,8,0,-1.672849,-1.679149,-4.092359,-0.1657486,1.298511,1.828183,15.43373,7820
3.36,-92.42163,8,0,-1.931349,-1.910787,-6.764116,-8.273899,1.97331,2.200631,13.31456,7852
3.38,-37.48309,8,0,-2.003108,-2.119781,-9.756483,-8.681307,2.58063,2.754764,13.35095,7792
3.4,-74.26599,8,0,-2.409209,-2.416996,-18.42824,-2.225208,2.243231,2.555972,9.437439,7780
3.42,-22.97894,8,0,-2.300891,-2.370787,5.693904,-1.778761,2.985511,3.115166,11.7121,7804
3.44,-65.44846,8,0,-2.106467,-2.219075,9.434362,3.111123,2.64811,3.004555,10.78022,7740
3.46,-27.47632,8,0,-1.996449,-2.026845,5.77024,1.759624,3.32291,3.502425,12.32965,7764
3.48,-80.02487,8,0,-1.64946,-1.774929,14.30459,3.613318,2.918031,3.322027,11.17682,7736
3.5,-40.78436,8,0,-1.681994,-1.679335,1.129017,-0.4249825,3.592831,3.763801,11.49522,7744
3.52,-75.09595,8,0,-1.443498,-1.562373,10.71681,0.1157131,3.32291,3.662865,10.1799,7712
3.54,-119.2644,8,0,-1.628655,-1.656116,-8.336635,-2.56745,2.985511,3.294514,6.483667,7720
3.56,-43.47009,8,0,-1.473568,-1.64699,7.006881,-9.154207,3.86275,3.909044,8.93815,7728
3.58,-62.96634,8,0,-1.626737,-1.793499,-11.60381,-5.47999,3.592831,3.821936,6.860736,7672
3.6,-99.0506,8,0,-1.970071,-2.015773,-12.19923,-4.027659,3.25543,3.469029,3.716199,7712
3.62,-8.937561,8,0,-1.75366,-1.942612,10.31986,-7.142617,4.267631,4.235093,8.061108,7724
3.64,-32.203,8,0,-1.759495,-1.914209,-2.489305,-0.1344014,3.99771,4.221744,7.37679,7660
3.66,-78.46112,8,0,-1.848331,-1.875079,1.006879,2.384727,3.660311,3.919055,5.443058,7704
3.68,-4.692078,8,0,-1.540361,-1.642272,16.07559,-1.410258,4.60503,4.634219,9.463458,7700
3.7,-4.940063,8,0,-1.426245,-1.493965,3.541231,3.122468,4.67251,4.875378,9.77104,7652
3.72,-30.82581,8,0,-1.530631,-1.429713,-1.420603,6.339629,4.60503,4.838344,8.153379,7660
3.74,-78.90259,8,0,-1.277873,-1.250409,14.50307,5.093608,4.267631,4.562747,6.873224,7660
3.76,-90.47339,8,0,-1.039712,-1.105416,12.442,-1.344701,4.267631,4.486867,6.336748,7672
3.78,-86.12225,8,0,-0.7894526,-1.019863,10.56413,-7.563106,4.335111,4.52638,6.246144,7652
3.8,-95.40479,8,0,-0.939582,-1.174351,-11.06946,-10.90074,4.20015,4.380843,4.00521,7684
3.82,-82.51511,8,0,-1.184306,-1.430197,-10.70305,-13.32297,4.267631,4.357101,2.636246,7672
3.84,-76.48575,8,0,-1.488814,-1.732635,-16.82519,-12.69359,4.20015,4.268275,1.307426,7648
3.86,-65.04874,8,0,-1.752346,-1.982469,-12.87099,-10.81115,4.20015,4.23591,0.9435956,7648
3.88,-47.90424,8,0,-2.050984,-2.203147,-15.00839,-7.458308,4.267631,4.272748,1.048012,7668
3.9,43.46893,8,0,-2.098509,-2.206578,-1.817549,-3.177836,5.21235,5.078538,5.583012,7672
3.92,45.74933,8,0,-2.091978,-2.065772,2.258788,8.920171,5.27983,5.374235,7.331964,7604
3.94,19.72089,8,0,-1.945848,-1.736293,7.617569,16.75534,5.27983,5.468817,8.353195,7616
3.96,-4.610657,8,0,-1.384371,-1.188159,33.80079,17.65395,5.34731,5.596817,10.25761,7608
3.98,-28.09137,8,0,-0.7454299,-0.6219591,32.06033,13.79626,5.41479,5.715412,11.36207,7620
4,-67.39124,8,0,-0.09328921,-0.1273137,32.15193,6.785952,5.27983,5.652638,10.95708,7628
4.02,-178.3721,8,0,0.2633629,0.0739312,14.59467,-3.159288,4.267631,4.780804,5.611732,7632
4.04,-174.3677,8,0,0.2182005,-0.1139587,-1.954954,-20.9843,4.335111,4.525592,2.311552,7696
4.06,-151.4892,8,0,-0.1009009,-0.6518701,-18.53511,-31.5166,4.267631,4.339741,-0.884632,7704
4.08,-80.22482,8,0,-0.7707185,-1.369584,-40.79466,-34.11433,4.67251,4.553894,-2.126684,7692
4.1,-50.17828,8,0,-1.801282,-2.215216,-52.07711,-25.48409,4.60503,4.47925,-4.720794,7528
4.12,-29.78522,8,0,-2.647593,-2.856801,-42.70306,-13.99982,4.53755,4.380997,-5.369606,7648
4.14,-33.53534,8,0,-3.17234,-3.206599,-7.756482,-2.576668,4.267631,4.161005,-4.87759,7632
4.16,64.7226,8,0,-2.757274,-2.880226,19.69391,3.747025,5.27983,5.068154,3.825677,7668
4.18,27.50177,8,0,-2.423579,-2.402568,18.56414,16.84106,4.94243,5.116935,6.476578,7612
4.2,-37.54279,8,0,-1.724967,-1.657793,41.1443,19.64636,4.60503,4.93643,8.502831,7616
4.22,26.15839,8,0,-0.9002057,-0.8632181,35.41911,12.44466,5.684711,5.81671,14.23356,7632
4.24,-125.3079,8,0,-0.4208403,-0.4200073,19.23589,12.31195,4.267631,4.887734,9.009377,7600
4.26,-64.20456,8,0,-0.1291132,-0.1591959,15.99925,-4.016675,5.27983,5.40933,10.17911,7668
4.28,-53.81644,8,0,-0.1262465,-0.2747075,-7.099994,-8.833725,5.34731,5.544346,8.043209,7596
4.3,-58.88928,8,0,-0.8079956,-0.7789922,-38.99313,-9.068388,5.27983,5.394936,3.242602,7612
4.32,-54.05127,8,0,-0.8685276,-1.022307,3.999247,-9.389193,5.27983,5.359696,2.541518,7600
4.34,-47.82993,8,0,-1.097501,-1.248044,-16.1687,-8.384795,5.27983,5.332037,1.624465,7568
4.36,-42.41351,8,0,-1.185987,-1.36519,1.953444,-6.752668,5.27983,5.331742,1.696746,7612
4.38,-39.12469,8,0,-1.260304,-1.421592,-6.596177,-4.861993,5.27983,5.337695,1.926176,7608
4.4,-37.85004,8,0,-1.280825,-1.421445,1.296956,-3.186991,5.27983,5.348953,2.350478,7600
4.42,-37.88947,8,0,-1.308668,-1.4082,-2.24503,-1.860803,5.27983,5.355107,2.617625,7596
4.44,-38.8512,8,0,-1.267879,-1.358369,2.075582,-1.09748,5.27983,5.366879,3.056272,7616
4.46,-34.35577,8,0,-1.249996,-1.313972,0.9458106,-0.7471744,5.34731,5.426771,3.476866,7608
4.48,-42.37909,8,0,-1.193245,-1.258973,2.915277,-0.2396508,5.27983,5.394126,3.501076,7620
4.5,-45.06299,8,0,-1.186558,-1.231615,0.9152762,-0.7533144,5.27983,5.380497,3.375926,7604
4.52,-51.92661,8,0,-1.138026,-1.207147,2.151918,-1.520181,5.21235,5.32482,3.183465,7592
4.54,-45.42963,8,0,-1.178406,-1.23448,-0.8862511,-2.61715,5.27983,5.35435,3.067133,7604
4.56,-37.41962,8,0,-1.163982,-1.247138,-0.3060985,-2.715025,5.34731,5.420193,3.357315,7612
4.58,-37.23987,8,0,-1.180473,-1.257257,0.3351234,-1.918932,5.34731,5.43662,3.324741,7620
