Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
2.42,-8.076279,0,0,0.2446852,-0.02526894,-0.03128911,-8.144404,-0.3884897,-0.379402,0.5928175,7952
2.44,-14.03386,0,0,0.2401679,-0.02382772,0.1366499,-6.936402,-0.4559698,-0.4040537,0.4171895,7936
2.46,-16.48997,0,0,0.2428948,-0.007098243,0.5793981,-6.742699,-0.4559698,-0.4114388,0.3951958,7956
2.48,-17.76085,0,0,0.2702626,0.01585519,0.7015356,-6.945251,-0.4559698,-0.4116309,0.4440542,7944
2.5,-12.26168,0,0,0.2502471,0.01229392,0.2740546,-7.155948,-0.3884897,-0.3629301,0.5065503,7952
2.52,-18.33964,0,0,0.2335624,-0.0009811819,-0.3824344,-6.69856,-0.4559698,-0.4078847,0.1713704,7936
2.54,-19.18416,0,0,0.2430629,0.001782775,0.4877952,-7.030875,-0.4559698,-0.4189748,0.1557183,7936
2.56,-18.68677,0,0,0.2345164,-0.007796526,-0.2297625,-7.315178,-0.4559698,-0.4237586,0.08401406,7956
2.58,-23.97428,0,0,0.236982,-0.01723012,-0.2297625,-7.463822,-0.5234499,-0.4787381,-0.1446626,7964
2.6,-16.99747,0,0,0.2217827,-0.03249319,0.1061156,-8.045739,-0.4559698,-0.4401847,0.02451783,7944
2.62,-15.23582,0,0,0.2185106,-0.04429488,-0.6877776,-7.712096,-0.4559698,-0.4276685,0.1039251,7952
2.64,-15.33769,0,0,0.2359122,-0.03252995,0.4877952,-7.355145,-0.4559698,-0.4196326,0.2563997,7956
2.66,-16.04874,0,0,0.2348807,-0.02281955,-0.1686933,-7.128815,-0.4559698,-0.4177872,0.2761395,7944
2.68,-16.6086,0,0,0.2264832,-0.02061503,0.02977964,-7.030095,-0.4559698,-0.4193255,0.2363981,7956
2.7,-16.93409,0,0,0.232588,-0.01521768,0.2282531,-7.038893,-0.4559698,-0.4192559,0.2538424,7948
2.72,-17.14708,0,0,0.2348532,-0.01224776,-0.2450293,-7.086141,-0.4559698,-0.4195186,0.2455348,7952
2.74,-23.27378,0,0,0.2372557,-0.01360975,0.4725278,-7.153316,-0.5234499,-0.4744825,-0.005043745,7936
2.76,-10.85803,0,0,0.2229929,-0.02169366,-0.2144953,-7.765572,-0.3884897,-0.3823587,0.3730783,7952
2.78,-15.75785,0,0,0.2259271,-0.02690707,-0.183961,-6.928173,-0.4559698,-0.410248,0.2275324,7944
2.8,-23.23831,0,0,0.2385938,-0.01513964,0.8389403,-6.905633,-0.5234499,-0.4705416,0.03201699,7936
2.82,-17.28428,0,0,0.2284682,-0.01820706,-0.3977011,-7.617733,-0.4559698,-0.4348652,0.1697354,7940
2.84,-22.05236,0,0,0.2436057,-0.02082154,-0.06182348,-7.536907,-0.5234499,-0.4770027,0.02303612,7952
2.86,-15.90396,0,0,0.2421562,-0.02181661,0.6862684,-7.954361,-0.4559698,-0.4336315,0.2411559,7956
2.88,-14.99839,0,0,0.2303319,-0.03091465,-0.3824344,-7.576702,-0.4559698,-0.4228519,0.2386087,7944
2.9,-21.49395,0,0,0.2380834,-0.02645409,0.3503905,-7.257648,-0.5234499,-0.4725974,0.06652033,7944
2.92,-15.8845,0,0,0.2315928,-0.02495632,0.1671843,-7.679743,-0.4559698,-0.4327029,0.2525921,7948
2.94,-15.10831,0,0,0.2269815,-0.02953002,-0.107625,-7.380845,-0.4559698,-0.4221621,0.270408,7956
2.96,-15.56692,0,0,0.2288866,-0.02499536,0.2740546,-7.106631,-0.4559698,-0.4185929,0.3008575,7956
2.98,-22.22421,0,0,0.2285373,-0.0223483,0.1519171,-6.977216,-0.5234499,-0.4728156,0.05495775,7960
3,-22.3419,0,0,0.222572,-0.02734244,-0.04655629,-7.549172,-0.5234499,-0.4890308,-0.01602316,7948
3.02,-14.94769,0,0,0.2219091,-0.03576192,0.06031401,-7.93223,-0.4559698,-0.4380611,0.2285099,7948
3.04,-19.98008,0,0,0.2232871,-0.04186532,0.09084838,-7.445721,-0.5234499,-0.4771001,0.06608766,7952
3.06,-8.458691,0,0,0.2300374,-0.03050335,0.1366499,-7.634841,-0.3884897,-0.3765304,0.5858541,7952
