Tiempo,ControlPWM,ThetaSimulado,ThetaObservado,OmegaSimulado,OmegaObservado,PosicionSimulado,PosicionObservado,VelocidadSimulado,VelocidadObservado
1.8151,-2.47483336010097,-0.126125455189225,-0.126125455189225,0.683962234757995,0.683962234757995,-0.579407688614454,-0.579407688614454,2.92770156279252,2.92770156279252
1.8152,-2.47348377941855,-0.126057077489232,-0.126057077489232,0.68359179927997,0.68359179927997,-0.579114990135473,-0.579114990135473,2.92626812807857,2.92626812807857
1.8153,-2.47213494096406,-0.125988736822536,-0.125988736822536,0.683221568803135,0.683221568803135,-0.578822434966592,-0.578822434966592,2.92483536076542,2.92483536076542
1.8154,-2.47078684432697,-0.125920433168643,-0.125920433168643,0.68285154320166,0.68285154320166,-0.578530023041083,-0.578530023041083,2.92340326057141,2.92340326057141
1.8155,-2.46943948909693,-0.125852166507071,-0.125852166507071,0.68248172234981,0.68248172234981,-0.578237754292249,-0.578237754292249,2.92197182721501,2.92197182721501
1.8156,-2.46809287486385,-0.125783936817352,-0.125783936817352,0.682112106121942,0.682112106121942,-0.577945628653421,-0.577945628653421,2.92054106041475,2.92054106041475
1.8157,-2.46674700121783,-0.12571574407903,-0.12571574407903,0.681742694392501,0.681742694392501,-0.577653646057957,-0.577653646057957,2.91911095988926,2.91911095988926
1.8158,-2.46540186774914,-0.125647588271661,-0.125647588271661,0.681373487036027,0.681373487036027,-0.577361806439244,-0.577361806439244,2.91768152535725,2.91768152535725
1.8159,-2.46405747404834,-0.125579469374814,-0.125579469374814,0.681004483927151,0.681004483927151,-0.577070109730695,-0.577070109730695,2.91625275653753,2.91625275653753
1.816,-2.46271381970612,-0.125511387368071,-0.125511387368071,0.680635684940595,0.680635684940595,-0.576778555865755,-0.576778555865755,2.91482465314898,2.91482465314898
1.8161,-2.46137090431346,-0.125443342231026,-0.125443342231026,0.680267089951171,0.680267089951171,-0.576487144777894,-0.576487144777894,2.91339721491059,2.91339721491059
1.8162,-2.46002872746147,-0.125375333943285,-0.125375333943285,0.679898698833785,0.679898698833785,-0.576195876400611,-0.576195876400611,2.91197044154142,2.91197044154142
1.8163,-2.45868728874152,-0.125307362484468,-0.125307362484468,0.679530511463433,0.679530511463433,-0.575904750667433,-0.575904750667433,2.91054433276062,2.91054433276062
1.8164,-2.45734658774517,-0.125239427834205,-0.125239427834205,0.679162527715202,0.679162527715202,-0.575613767511915,-0.575613767511915,2.90911888828744,2.90911888828744
1.8165,-2.45600662406421,-0.125171529972142,-0.125171529972142,0.67879474746427,0.67879474746427,-0.575322926867641,-0.575322926867641,2.9076941078412,2.9076941078412
1.8166,-2.4546673972906,-0.125103668877933,-0.125103668877933,0.678427170585908,0.678427170585908,-0.575032228668222,-0.575032228668222,2.90626999114133,2.90626999114133
1.8167,-2.45332890701654,-0.125035844531249,-0.125035844531249,0.678059796955475,0.678059796955475,-0.574741672847297,-0.574741672847297,2.90484653790732,2.90484653790732
1.8168,-2.45199115283445,-0.124968056911771,-0.124968056911771,0.677692626448424,0.677692626448424,-0.574451259338534,-0.574451259338534,2.90342374785878,2.90342374785878
1.8169,-2.45065413433693,-0.124900305999193,-0.124900305999193,0.677325658940298,0.677325658940298,-0.574160988075628,-0.574160988075628,2.90200162071538,2.90200162071538
