Tiempo,ControlPWM,ThetaSimulado,ThetaObservado,OmegaSimulado,OmegaObservado,PosicionSimulado,PosicionObservado,VelocidadSimulado,VelocidadObservado
3.451,0.497481098347938,0.0253672762467621,0.0253672762467621,-0.138010673071253,-0.138010673071253,0.126648947087897,0.126648947087897,-0.661187645216315,-0.661187645216315
3.4511,0.497210616851646,0.0253534789367668,0.0253534789367668,-0.137935533659755,-0.137935533659755,0.126582845313093,0.126582845313093,-0.660847879307073,-0.660847879307073
3.4512,0.496940282242313,0.0253396891386654,0.0253396891386654,-0.137860435190762,-0.137860435190762,0.126516777506349,0.126516777506349,-0.660508283987607,-0.660508283987607
3.4513,0.496670094440505,0.0253259068483646,0.0253259068483646,-0.137785377642155,-0.137785377642155,0.126450743650612,0.126450743650612,-0.66016885917533,-0.66016885917533
3.4514,0.496400053366806,0.0253121320617737,0.0253121320617737,-0.137710360991826,-0.137710360991826,0.126384743728834,0.126384743728834,-0.65982960478769,-0.65982960478769
3.4515,0.496130158941858,0.0252983647748037,0.0252983647748037,-0.137635385217676,-0.137635385217676,0.126318777723976,0.126318777723976,-0.659490520742177,-0.659490520742177
3.4516,0.49586041108634,0.0252846049833683,0.0252846049833683,-0.137560450297621,-0.137560450297621,0.12625284561901,0.12625284561901,-0.659151606956314,-0.659151606956314
3.4517,0.495590809720978,0.0252708526833831,0.0252708526833831,-0.137485556209585,-0.137485556209585,0.126186947396912,0.126186947396912,-0.658812863347666,-0.658812863347666
3.4518,0.495321354766542,0.0252571078707661,0.0252571078707661,-0.137410702931506,-0.137410702931506,0.12612108304067,0.12612108304067,-0.658474289833832,-0.658474289833832
3.4519,0.495052046143837,0.0252433705414372,0.0252433705414372,-0.137335890441332,-0.137335890441332,0.126055252533279,0.126055252533279,-0.658135886332451,-0.658135886332451
3.452,0.494782883773716,0.025229640691319,0.025229640691319,-0.137261118717022,-0.137261118717022,0.12598945585774,0.12598945585774,-0.657797652761199,-0.657797652761199
3.4521,0.494513867577078,0.0252159183163357,0.0252159183163357,-0.137186387736547,-0.137186387736547,0.125923692997065,0.125923692997065,-0.657459589037789,-0.657459589037789
3.4522,0.494244997474851,0.0252022034124142,0.0252022034124142,-0.137111697477889,-0.137111697477889,0.125857963934273,0.125857963934273,-0.657121695079971,-0.657121695079971
3.4523,0.493976273388027,0.0251884959754835,0.0251884959754835,-0.137037047919042,-0.137037047919042,0.125792268652393,0.125792268652393,-0.656783970805535,-0.656783970805535
3.4524,0.493707695237616,0.0251747960014745,0.0251747960014745,-0.136962439038009,-0.136962439038009,0.125726607134459,0.125726607134459,-0.656446416132306,-0.656446416132306
3.4525,0.49343926294469,0.0251611034863207,0.0251611034863207,-0.136887870812808,-0.136887870812808,0.125660979363516,0.125660979363516,-0.656109030978148,-0.656109030978148
3.4526,0.493170976430353,0.0251474184259575,0.0251474184259575,-0.136813343221466,-0.136813343221466,0.125595385322615,0.125595385322615,-0.655771815260961,-0.655771815260961
3.4527,0.492902835615759,0.0251337408163227,0.0251337408163227,-0.13673885624202,-0.13673885624202,0.125529824994818,0.125529824994818,-0.655434768898685,-0.655434768898685
3.4528,0.492634840422101,0.0251200706533561,0.0251200706533561,-0.136664409852522,-0.136664409852522,0.125464298363193,0.125464298363193,-0.655097891809296,-0.655097891809296
3.4529,0.492366990770606,0.0251064079329999,0.0251064079329999,-0.136590004031031,-0.136590004031031,0.125398805410817,0.125398805410817,-0.654761183910806,-0.654761183910806
3.453,0.492099286582558,0.0250927526511983,0.0250927526511983,-0.136515638755621,-0.136515638755621,0.125333346120774,0.125333346120774,-0.654424645121267,-0.654424645121267
3.4531,0.491831727779273,0.025079104803898,0.025079104803898,-0.136441314004375,-0.136441314004375,0.125267920476158,0.125267920476158,-0.654088275358767,-0.654088275358767
3.4532,0.491564314282115,0.0250654643870474,0.0250654643870474,-0.136367029755388,-0.136367029755388,0.125202528460071,0.125202528460071,-0.653752074541431,-0.653752074541431
3.4533,0.491297046012487,0.0250518313965975,0.0250518313965975,-0.136292785986766,-0.136292785986766,0.125137170055621,0.125137170055621,-0.653416042587423,-0.653416042587423
3.4534,0.491029922891839,0.0250382058285014,0.0250382058285014,-0.136218582676627,-0.136218582676627,0.125071845245927,0.125071845245927,-0.653080179414943,-0.653080179414943
3.4535,0.490762944841659,0.0250245876787143,0.0250245876787143,-0.1361444198031,-0.1361444198031,0.125006554014115,0.125006554014115,-0.652744484942229,-0.652744484942229
