Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
4.82,0,-0.1148809,-0.1002721,-3.9542,1.952863
4.84,0,-0.1051409,-0.0746721,-3.938933,3.12244
4.86,0,-0.09345589,-0.0641417,-3.938933,2.949422
4.88,0,-0.0849226,-0.06259166,-3.923666,2.343694
4.9,0,-0.07813401,-0.05867683,-3.893131,2.07139
4.92,0,-0.07156469,-0.05287107,-3.877864,1.96539
4.94,0,-0.06341245,-0.04269965,-3.908398,2.065531
4.96,0,-0.06828412,-0.07210451,-3.923666,0.1836119
4.98,0,-0.06351773,-0.0446984,-3.938933,1.918777
5,0,-0.05734137,-0.04126801,-3.893131,1.660251
5.02,0,-0.06076895,-0.0619636,-3.877864,0.3357012
5.04,0,-0.06227718,-0.05611631,-3.969467,0.9212081
5.06,0,-0.05938533,-0.04672773,-3.877864,1.40811
5.08,0,-0.05178324,-0.03253896,-3.938933,1.868778
5.1,0,-0.04817467,-0.03838051,-3.893131,1.105013
5.12,0,-0.04109572,-0.02378508,-3.877864,1.642289
5.14,0,-0.03362201,-0.01812858,-3.923666,1.447414
5.16,0,-0.03643879,-0.03978974,-3.938933,-0.004598856
5.18,0,-0.03365531,-0.02292614,-3.877864,1.075879
5.2,0,-0.04085654,-0.05096818,-3.893131,-0.5013852
5.22,0,-0.03712004,-0.02271964,-3.938933,1.387239
5.24,0,-0.03834076,-0.03815165,-3.862597,0.285373
5.26,0,-0.04172449,-0.04231951,-3.893131,0.2482824
5.28,0,-0.03998736,-0.0309078,-3.862597,0.9917111
5.3,0,-0.04239728,-0.04283051,-3.938933,0.2655146
5.32,0,-0.03710318,-0.02168987,-3.862597,1.466065
5.34,0,-0.03771941,-0.03667423,-3.877864,0.3478336
5.36,0,-0.04171181,-0.04364142,-3.969467,0.1439323
5.38,0,-0.04804048,-0.05292178,-3.877864,-0.04186332
5.4,0,-0.05015869,-0.04612187,-3.908398,0.6697524
5.42,0,-0.05534294,-0.05821385,-3.893131,0.1666499
5.44,0,-0.05380626,-0.04269827,-3.877864,1.247817
5.46,0,-0.0540912,-0.04923198,-3.923666,0.7614856
5.48,0,-0.05350976,-0.04582604,-3.923666,0.9781125
5.5,0,-0.0437301,-0.0204706,-3.893131,2.125605
5.52,0,-0.04272147,-0.0394599,-3.908398,0.5561535
5.54,0,-0.0420683,-0.03554643,-3.877864,0.8065603
5.56,0,-0.04060319,-0.03339211,-3.877864,0.8499863
5.58,0,-0.03951007,-0.03330243,-3.893131,0.7638732
5.6,0,-0.03908953,-0.03402052,-3.877864,0.6719807
5.62,0,-0.0391936,-0.0348793,-3.908398,0.6137856
