Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado
3,23.27771,-5,0.693549,-0.09946159,-56.10764,-27.39388,-5.65193,-6.139742
3.02,57.97375,-5,-0.5214471,-0.5834461,-62.53512,-14.00635,-5.65193,-6.254393
3.04,87.52869,-5,-1.59618,-0.9476706,-44.13817,2.020339,-5.71941,-6.367033
3.06,97.4928,-5,-1.174095,-0.7730869,33.03743,14.25914,-5.71941,-6.231079
3.08,194.8417,-5,-0.6044087,-0.2188698,43.1901,21.76809,-5.044609,-5.6243
3.1,41.46313,-5,0.6630152,0.6316179,68.16721,32.20714,-5.38201,-5.386488
3.12,8.991089,-5,1.990278,1.570507,62.01453,19.1896,-5.314529,-5.141469
3.14,-91.49011,-5,3.061222,2.194408,49.55651,3.569955,-5.65193,-5.225566
3.16,-42.63037,-5,3.668807,2.466178,27.08322,-18.8865,-5.38201,-5.15658
3.18,-34.86072,-5,3.252574,2.220892,-30.79466,-27.42537,-5.314529,-5.245057
3.2,-125.9346,-5,2.196717,1.559635,-54.07711,-29.0377,-5.989328,-5.862364
3.22,13.69385,-5,1.138211,0.7901694,-56.01604,-35.65474,-5.71941,-6.077169
3.24,107.4512,-5,0.1983336,0.1068616,-47.23741,-22.63705,-5.38201,-6.001029
3.26,-61.86023,-5,-0.3793845,-0.326793,-26.84046,-2.971979,-6.326729,-6.492089
3.28,167.1556,-5,0.003671074,-0.2034779,20.442,-7.955739,-5.314529,-5.960579
3.3,72.95142,-5,0.6398087,0.1522604,31.29696,9.725888,-5.38201,-5.644051
3.32,30.46228,-5,1.000198,0.6509648,15.49543,10.68402,-5.38201,-5.468815
3.34,26.7594,-5,1.594613,1.124142,31.22063,5.087584,-5.247049,-5.281538
3.36,-12.29614,-5,2.479411,1.575353,40.50308,-1.980368,-5.247049,-5.147664
3.38,-44.25586,-5,2.754821,1.779905,15.43436,-11.57998,-5.314529,-5.177443
3.4,-200.4965,-5,2.629901,1.585742,-9.237398,-21.12004,-6.259249,-5.846052
3.42,-108.7589,-5,2.25896,1.10001,-20.62671,-41.97715,-6.259249,-6.22891
3.44,-13.12659,-5,1.742944,0.4528205,-29.06947,-44.6893,-5.989328,-6.291742
3.46,23.30469,-5,0.8259505,-0.1643031,-47.49695,-33.72826,-5.85437,-6.299536
3.48,73.83081,-5,-0.2890272,-0.650961,-56.96261,-18.98376,-5.65193,-6.240179
3.5,107.0365,-5,-1.218236,-0.9340982,-41.49695,-0.9194649,-5.51697,-6.14779
3.52,18.32495,-5,-0.8133229,-0.7420117,32.99162,12.90526,-5.92185,-6.191109
3.54,-48.7251,-5,-0.1591765,-0.3395132,42.91529,10.78839,-6.326729,-6.329367
3.56,123.5828,-5,1.190137,0.3360972,65.23591,-1.512779,-5.314529,-5.625866
3.58,-38.32922,-5,2.431802,1.013119,54.97636,3.442483,-5.58445,-5.385218
3.6,-229.9098,-5,2.644701,1.306991,-1.466404,-10.75145,-6.529169,-5.934482
3.62,71.74646,-5,1.93514,1.079743,-35.03893,-36.63588,-5.314529,-5.643186
