Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
2.06,-166.7343,-5,1.506653,0.864019,-16.1229,-8.05128,-6.664129,-6.392,-8.609978,8352
2.08,-3.758667,-5,1.075085,0.5935724,-25.25267,-25.76442,-6.259249,-6.489305,-9.978883,8420
2.1,72.93433,-5,0.5961627,0.2096986,-25.34427,-19.25829,-5.92185,-6.362865,-9.938729,8416
2.12,49.70532,-5,0.07259369,-0.0310323,-29.89389,-5.481625,-5.989328,-6.350414,-9.05969,8384
2.14,62.7533,-5,-0.5635024,-0.1702082,-31.35954,3.447924,-5.989328,-6.363933,-7.924499,8388
2.16,20.51562,-5,-0.5045923,-0.1183073,26.54887,10.41428,-6.259249,-6.46081,-5.386352,8372
2.18,26.5094,-5,0.5386983,0.2923248,49.96873,7.293052,-6.191769,-6.292225,-1.124615,8404
2.2,-61.86182,-5,1.236315,0.6630703,29.51071,3.368617,-6.529169,-6.359078,-0.6827202,8412
2.22,-53.13708,-5,1.501223,0.8390365,5.373293,-9.046576,-6.529169,-6.413678,-2.037533,8412
2.24,6.545166,-5,1.267596,0.7386491,-16.77939,-15.4927,-6.259249,-6.354362,-3.955092,8412
2.26,55.52502,-5,0.6127998,0.4725513,-35.68016,-11.43607,-5.989328,-6.257081,-5.358215,8392
2.28,66.01917,-5,-0.1243748,0.2034105,-39.95496,-1.305873,-5.92185,-6.232808,-5.593524,8384
2.3,64.30981,-5,-0.7509233,0.01404911,-32.42825,8.557487,-5.989328,-6.284254,-4.731724,8384
2.32,65.93384,-5,-0.4563012,0.1313868,52.0756,13.94374,-5.989328,-6.204144,-1.301603,8376
2.34,-14.63586,-5,0.7548554,0.5943395,50.83896,13.49612,-6.259249,-6.149719,2.301914,8384
2.36,-19.06372,-5,1.479722,1.019994,31.11376,2.642673,-6.191769,-6.041883,2.593703,8396
2.38,-48.5636,-5,1.809428,1.199662,11.99925,-6.135592,-6.259249,-6.067829,0.6959576,8412
2.4,16.48474,-5,1.596028,1.130682,-17.13053,-14.10392,-5.92185,-5.96512,-1.604447,8408
2.42,-160.858,-5,0.9297662,0.7078801,-38.41298,-10.96554,-6.93405,-6.636671,-6.246943,8388
2.44,-0.1239014,-5,0.09082897,0.1629799,-44.90153,-23.84588,-6.596649,-6.820331,-8.106689,8448
2.46,21.64905,-5,-0.6907089,-0.4536238,-42.15344,-13.5024,-6.664129,-6.975659,-8.497391,8428
2.48,58.5304,-5,-1.251469,-0.8128436,-28.22977,-2.543401,-6.596649,-6.975091,-6.568794,8440
