Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
2.2,-200,-4.169216,-4.666556,2.136651,-24.76773,-10.78041,-8.207086,-591.3654
2.22,-200,-4.089731,-4.42842,7.571767,-19.99215,-10.84789,-10.75989,-16.01921
2.24,-200,-3.89356,-4.148135,4.961079,-18.04029,-9.700729,-14.80005,1321.076
2.26,-200,-4.050473,-4.384754,-32.64198,-20.00741,-9.83569,-5.813377,-852.3715
2.28,-200,-4.845619,-5.370939,-33.8939,-23.13153,-4.36981,-27.93061,6046.596
2.3,-200,-5.395691,-5.865045,-28.0771,-19.25499,-10.51049,31.82181,-10081.43
2.32,-200,-5.709236,-6.052018,-11.40534,-14.01515,-9.295849,-25.40163,3608.837
2.34,-200,-5.819973,-6.037252,2.640467,-9.577109,-9.025928,-10.73634,427.6951
2.36,-200,-5.64161,-5.725696,7.87711,-5.982957,-5.58445,-20.27589,3805.871
2.38,-200,-5.339867,-5.354735,14.74734,-4.906151,-5.58445,4.245178,-2009.096
2.4,-200,-5.132557,-5.170336,8.25879,-6.425373,-4.36981,-5.680893,556.2043
2.42,-200,-5.160833,-5.286759,-1.206862,-9.144695,-4.36981,0.8386703,-1061.99
2.44,-200,-5.097595,-5.229111,-3.588542,-9.559422,-4.23485,-2.582928,-293.5924
2.46,-200,-5.136364,-5.302361,-4.870985,-10.51877,-4.36981,-2.179244,-465.981
2.48,-200,-5.28913,-5.495912,-3.863351,-11.24917,-5.65193,0.6972113,-1575.728
2.5,-200,-5.305343,-5.478567,-1.252663,-10.11043,-4.36981,-13.02198,2084.992
2.52,0,-5.374671,-5.548662,-3.771748,14.72535,-4.36981,-1.708542,-534.7257
2.54,0,-5.551106,-5.257263,-5.60381,30.36979,-4.639729,-2.108728,-567.3135
2.56,0,-5.672992,-5.178508,9.541233,37.2475,-4.909649,-3.618166,-309.0031
2.58,0,-4.869843,-4.04106,48.60995,44.93143,-4.30233,-7.395445,810.1818
2.6,0,-3.877297,-2.934191,56.51835,44.84175,-3.560049,-4.661721,428.4526
2.62,0,-2.851159,-1.931772,60.18247,40.20615,-3.02021,-1.857656,-86.40675
2.64,0,-1.752379,-0.8995331,60.86949,33.92818,-2.075489,-2.820761,393.6779
2.66,0,-0.7096394,0.02049923,51.38858,26.06188,-1.46817,0.3024955,-205.0739
2.68,0,0.2062298,0.7779117,40.18246,17.5297,-1.805569,3.60454,-1168.036
2.7,0,0.8276379,1.191738,19.6023,8.534161,-0.7933693,-4.310717,959.9453
2.72,0,1.175996,1.342404,17.29696,0.8875475,-1.13077,3.720214,-1071.726
2.74,0,1.308549,1.317105,7.739706,-4.667696,-0.1185694,-4.232491,1068.364
2.76,0,1.312511,1.217909,2.228254,-7.985265,-0.1185694,2.68669,-585.7596
2.78,0,1.193078,1.026629,-2.183961,-9.835196,1.23103,-3.916224,1348.076
2.8,0,1.151471,0.9886747,-0.9931214,-9.558575,1.298511,4.73115,-701.9045
2.82,0,1.113585,0.9563392,-0.8099151,-9.237777,1.23103,2.985478,-382.6018
2.84,0,1.053518,0.8951568,-0.9473198,-9.047167,1.568431,0.3101125,327.4889
2.86,0,0.9852468,0.8287719,-0.9778546,-8.72908,1.90583,1.255728,201.5423
2.88,0,0.9153827,0.7643247,-0.7030448,-8.291887,2.175751,2.055455,77.65127
2.9,0,0.8283891,0.6799513,-0.1992282,-7.879884,2.58063,1.764066,250.6057
2.92,0,0.8773425,0.7733563,0.1519171,-6.639114,4.20015,-1.779351,1583.931
2.94,0,0.854856,0.7442091,0.7473372,-6.769462,3.32291,11.98011,-1984.859
2.96,0,0.81603,0.7001473,0.09084838,-6.790667,3.93023,0.5541172,825.8315
2.98,0,0.8308541,0.7305407,0.6862684,-6.347109,4.335111,3.791898,196.4544
3,0,0.8102835,0.7049996,-0.01602192,-6.429464,4.87495,3.917305,310.7621
3.02,100,0.8065516,0.7055439,0.3503905,6.021927,5.61723,4.162407,457.5046
3.04,100,0.8757657,1.042436,0.3961921,14.33281,4.94243,10.57306,-1312.028
3.06,100,0.8824094,1.125602,5.159552,16.75233,5.54975,1.974363,867.9664
3.08,100,1.481311,1.912969,32.09086,20.5343,4.87495,9.146829,-1018.171
3.1,100,2.015005,2.453404,25.63284,18.73062,5.887151,0.2313976,1396.474
3.12,100,2.482133,2.864549,27.95345,15.1729,5.27983,10.43078,-1192.928
3.14,100,2.926006,3.246156,19.95345,11.50364,5.887151,2.52946,828.0792
3.16,100,3.262358,3.496832,18.33513,7.489452,5.887151,7.298831,-294.6254
3.18,100,3.508931,3.662006,10.97635,3.951947,5.54975,7.549094,-491.6755
3.2,100,3.589051,3.648276,8.182454,0.6428658,6.62943,0.9454441,1398.415
3.22,100,3.711047,3.740952,4.075583,-0.754254,6.62943,8.951578,-490.6871
3.24,100,3.74644,3.732846,3.174819,-2.281763,6.62943,7.293221,-149.3634
3.26,100,3.808102,3.782906,1.251154,-2.884877,5.54975,10.42902,-1253.704
3.28,100,3.806944,3.755775,1.205353,-3.713035,5.54975,2.49094,620.2946
3.3,100,3.796374,3.73314,0.304589,-4.059167,5.54975,4.154288,275.2943
3.32,100,3.812756,3.753196,0.7473372,-4.002705,5.887151,3.574362,538.6045
3.34,100,3.791549,3.721912,0.06031401,-4.246026,5.95463,5.986953,-6.039773
3.36,100,3.781306,3.712517,0.2129859,-4.179825,5.95463,5.979675,-18.59688
3.38,100,3.76316,3.693319,0.01451245,-4.145156,6.35951,4.273757,505.1535
3.4,100,3.752068,3.685122,0.1061156,-4.010443,6.29203,7.28865,-234.3316
3.42,100,3.745704,3.68195,-0.183961,-3.884167,5.27983,9.656991,-1136.758
3.44,100,3.755238,3.69746,0.2435202,-3.728586,5.27983,2.294413,605.5514
3.46,100,3.741894,3.679391,-0.09235785,-3.829992,5.27983,3.920654,267.9121
3.48,100,3.736742,3.675718,-0.03128911,-3.762928,5.21235,4.742461,69.76898
3.5,100,3.737864,3.679484,-0.03128911,-3.682434,5.34731,4.013612,292.2016
3.52,0,3.735374,3.676906,0.09084838,-15.97599,5.27983,5.410685,-54.67619
3.54,0,3.739741,3.437287,0.06031401,-23.80476,5.27983,4.776722,91.32344
3.56,0,3.648304,3.22952,-8.122894,-27.18183,5.27983,4.836276,76.56686
3.58,0,3.148773,2.583205,-27.72596,-30.00062,5.61723,3.624899,460.0656
3.6,0,2.65707,2.077119,-24.35191,-28.60186,5.684711,5.592155,10.61212
3.62,0,2.192743,1.652109,-24.13817,-25.58892,5.54975,5.953323,-133.0732
3.64,0,1.755943,1.272366,-20.80992,-22.11281,5.684711,4.235225,310.8405
